date,base_price,count,num_id
2019-01-01,82.92,1.0,25-1846-0039RG _ 1600.0
2019-01-01,2850.0,1.0,80-5184-1 _ 1600.0
2019-01-01,2850.345,1.0,3757529-1 _ 1008.0
2019-01-01,8.9785,2.0,403-1073-002 _ 5010.0
2019-01-01,19.292,2.0,55-0853-7S _ 1600.0
2019-01-01,2979.655,1.0,5050218-9 _ 1008.0
2019-01-01,2999.1429,2.0,56006206-001 _ 1045.0
2019-01-01,2999.6578,2.0,7510720-903-CM _ 5210.0
2019-01-01,2833.0,1.0,8525420-3 _ 1073.0
2019-01-01,3016.5193,2.0,230-16501-8801 _ 5210.0
2019-01-01,3036.625,1.0,34200600-30H4A _ 1039.0
2019-01-01,186.7757,2.0,230-01710-9901 _ 5210.0
2019-01-01,186.1448,2.0,7011839-901 _ 1009.0
2019-01-01,3056.0,1.0,5050052-9 _ 1008.0
2019-01-01,3063.14,2.0,230-53010-8800 _ 5210.0
2019-01-01,3067.7543,2.0,7028419-1904-TB _ 1103.0
2019-01-01,3073.619,2.0,015-00271-0002 _ 1009.0
2019-01-01,1.4733,2.0,A5319 _ 1600.0
2019-01-01,9.15,2.0,7031052-102 _ 5210.0
2019-01-01,84.755,2.0,57000183-001 _ 5210.0
2019-01-01,3091.6217,2.0,7026534-1903-TB _ 1103.0
2019-01-01,3030.75,1.0,34201700-3M43A _ 1039.0
2019-01-01,0.54,1.0,M7928-5-4 _ 1600.0
2019-01-01,192.1129,2.0,12499 _ 1600.0
2019-01-01,2783.6776,2.0,60000044-1007 _ 5210.0
2019-01-01,197.9629,2.0,22023733-001 _ 1065.0
2019-01-01,2620.3811,2.0,7021451-918 _ 1103.0
2019-01-01,1.5694,2.0,MRC6218 _ 1600.0
2019-01-01,8.65,1.0,04750394-0501 _ 5253.0
2019-01-01,1.5645,2.0,31-8440-1 _ 1600.0
2019-01-01,2642.7006,2.0,7038485-1901 _ 1103.0
2019-01-01,8.67,1.0,02050000004 _ 1006.0
2019-01-01,196.704,2.0,30060223-0501K _ 5210.0
2019-01-01,2656.0668,2.0,66000015-103CM _ 1062.0
2019-01-01,19.95,2.0,4061378 _ 1103.0
2019-01-01,2676.0451,2.0,4073770-902K _ 5210.0
2019-01-01,19.865,2.0,D38999/24MB35PN _ 1039.0
2019-01-01,2693.0,1.0,2118952-5 _ 1008.0
2019-01-01,19.788,2.0,72326384-3 _ 1600.0
2019-01-01,2719.65,1.0,8529742-921 _ 1008.0
2019-01-01,2719.85,1.0,5050051-9 _ 1008.0
2019-01-01,81.5604,2.0,7028216-902 _ 5210.0
2019-01-01,19.6932,2.0,31-2137-1 _ 1600.0
2019-01-01,19.6663,2.0,7023478-901 _ 5210.0
2019-01-01,0.5379,2.0,A7054A4 _ 1600.0
2019-01-01,2761.0243,1.0,HG9922EA01 _ 1039.0
2019-01-01,2768.15,2.0,7021285-803//CM _ 5210.0
2019-01-01,0.54,2.0,076-03140-0001 _ 5210.0
2019-01-01,2775.0,1.0,980-6022-001 _ 5253.0
2019-01-01,2775.0,1.0,980-6032-001 _ 5253.0
2019-01-01,84.85,2.0,530-0565-001 _ 1095.0
2019-01-01,1531.4447,2.0,8525358-920 _ 1073.0
2019-01-01,3106.8779,2.0,7028432-1902-TB _ 1103.0
2019-01-01,3129.8217,1.0,2819206-1 _ 1008.0
2019-01-01,3445.0,1.0,4006719-908__CAR _ 1103.0
2019-01-01,3494.2492,2.0,7038231-1902 _ 1103.0
2019-01-01,87.9244,2.0,31-5111-3 _ 1600.0
2019-01-01,3503.6611,2.0,4081800-1905 _ 1073.0
2019-01-01,3523.4829,1.0,4089320-1006 _ 5253.0
2019-01-01,3532.0,1.0,HG9914A01 _ 1039.0
2019-01-01,9.5496,2.0,LP767 _ 1600.0
2019-01-01,3557.0813,1.0,8529742-920 _ 1008.0
2019-01-01,3564.908,2.0,722-4350-031 _ 5253.0
2019-01-01,3565.44,1.0,7034595-906__MAJ _ 5210.0
2019-01-01,88.2919,2.0,68006958-101 _ 1064.0
2019-01-01,18.32,1.0,10068289-101 _ 1062.0
2019-01-01,3573.9317,1.0,1153396-1__NEW _ 1103.0
2019-01-01,174.27,1.0,10154650-118__NEW _ 1064.0
2019-01-01,3660.3753,1.0,7034595-906__MAJ _ 1009.0
2019-01-01,3665.2857,1.0,8525350-920 _ 1008.0
2019-01-01,3677.4825,2.0,7003315-901 _ 1009.0
2019-01-01,3713.8071,1.0,4006719-921__CAR _ 1103.0
2019-01-01,3725.77,1.0,4006719-906__CAR _ 1103.0
2019-01-01,3753.0,1.0,8520115-906 _ 1008.0
2019-01-01,3753.95,1.0,5160455__RPR _ 1073.0
2019-01-01,0.6176,2.0,MTA110 _ 1600.0
2019-01-01,3762.472,2.0,4091897-2//CM _ 5210.0
2019-01-01,3766.3158,1.0,15653-2A _ 1008.0
2019-01-01,174.2934,2.0,7022886-1 _ 1009.0
2019-01-01,18.39,2.0,088-00145-0004 _ 5210.0
2019-01-01,9.42,1.0,4038540-401 _ 1103.0
2019-01-01,3400.0,1.0,HG9907A04-018 _ 1039.0
2019-01-01,85.07,2.0,34271461-003 _ 1039.0
2019-01-01,3147.7477,2.0,7034055-1901 _ 1103.0
2019-01-01,3150.0,1.0,HG9741R1 _ 1039.0
2019-01-01,3150.0,1.0,34200650-D1BM _ 1039.0
2019-01-01,3172.3102,2.0,230-07400-8800 _ 5210.0
2019-01-01,18.8,2.0,10070332-101 _ 1064.0
2019-01-01,3186.25,2.0,230-19653-8800 _ 5210.0
2019-01-01,3192.4379,2.0,7024440-1903 _ 1103.0
2019-01-01,0.5760000000000001,2.0,MISC921 _ 1600.0
2019-01-01,3236.79,2.0,230-02280-8800 _ 5210.0
2019-01-01,18.6332,2.0,D38999/24WE35PA _ 1039.0
2019-01-01,3263.9694,2.0,8528968-920 _ 1073.0
2019-01-01,3271.2263,2.0,7034055-1901-TB _ 1103.0
2019-01-01,3281.0,1.0,8525417-910 _ 1073.0
2019-01-01,9.3313,2.0,53500599-2 _ 5210.0
2019-01-01,18.5806,2.0,4087456 _ 5210.0
2019-01-01,18.5587,2.0,CL1885 _ 1600.0
2019-01-01,179.55,2.0,89167-002 _ 1009.0
2019-01-01,3324.9567,2.0,7003434-902 _ 1009.0
2019-01-01,3332.0311,2.0,7003114-905 _ 1009.0
2019-01-01,3348.85,1.0,964-0401-017__CAR _ 5210.0
2019-01-01,1.43,1.0,26016268-101 _ 1062.0
2019-01-01,18.4474,2.0,60003087-1 _ 5210.0
